title,sjr,quartile
Nature Cancer,11.941,Q1
The Lancet Neurology,11.729,Q1
MMWR supplements,11.672,Q1
Nature Photonics,11.546,Q1
Chemical Society Reviews,11.467,Q1
The Lancet Gastroenterology and Hepatology,11.398,Q1
eLight,11.392,Q1
The Lancet Oncology,11.319,Q1
Journal of Clinical Oncology,11.205,Q1
Nature Neuroscience,11.197,Q1
Nature Electronics,11.082,Q1
Joule,10.868,Q1
Kidney International Supplements,10.788,Q1
Nature Reviews Cardiology,10.662,Q1
Journal of Hepatology,10.575,Q1
Reviews of Geophysics,10.546,Q1
Energy and Environmental Science,10.529,Q1
Academy of Management Journal,10.528,Q1
Science,10.416,Q1
Administrative Science Quarterly,10.393,Q1
Nature Immunology,10.390,Q1
Handbook of Industrial Organization,10.234,Q1
Journal of Hematology and Oncology,10.192,Q1
Organizational Research Methods,10.181,Q1
Strategic Management Journal,10.176,Q1
Nature Biomedical Engineering,10.105,Q1
Nature Reviews Gastroenterology and Hepatology,9.911,Q1
Nature Reviews Physics,9.803,Q1
Annual Review of Condensed Matter Physics,9.795,Q1
NBER Macroeconomics Annual,9.760,Q1
eScience,9.726,Q1
Morbidity and Mortality Weekly Report,9.559,Q1
Annual Review of Biochemistry,9.520,Q1
Astronomy and Astrophysics Review,9.465,Q1
Nature Reviews Neuroscience,9.331,Q1
Cell Stem Cell,9.313,Q1
Molecular Cancer,9.263,Q1
Endocrine Reviews,9.175,Q1
Annals of Mathematics Studies,9.135,Q1
Acta Mathematica,9.069,Q1
Molecular Cell,9.051,Q1
Journal of the American College of Cardiology,9.015,Q1
Gut,8.874,Q1
Advanced Materials,8.851,Q1
Cell Research,8.740,Q1
Psychological Bulletin,8.696,Q1
Circulation,8.668,Q1
Journal of Management,8.636,Q1
Annals of Mathematics,8.627,Q1
American Economic Journal: Applied Economics,8.597,Q1
Progress in Materials Science,8.566,Q1
Journal of Consumer Research,8.562,Q1
European Urology,8.529,Q1
The Lancet Public Health,8.408,Q1
Journal of Accounting Research,8.396,Q1
Advanced Energy Materials,8.378,Q1
JAMA Oncology,8.377,Q1
Annual Review of Public Health,8.291,Q1
Journal of Economic Perspectives,8.262,Q1
Annual Review of Fluid Mechanics,8.258,Q1
Annual Review of Plant Biology,8.258,Q1
Review of Finance,8.220,Q1
Science Immunology,8.220,Q1
Innovation,8.218,Q1
Nano-Micro Letters,8.188,Q1
Annual Review of Economics,8.094,Q1
Nature Climate Change,8.046,Q1
Progress in Energy and Combustion Science,8.031,Q1
Organization Science,8.026,Q1
Annual Review of Clinical Psychology,8.021,Q1
Nature Reviews Bioengineering,7.993,Q1
Advances in Optics and Photonics,7.982,Q1
Journal of Thoracic Oncology,7.948,Q1
American Economic Journal: Economic Policy,7.940,Q1
Nature Reviews Endocrinology,7.884,Q1
Journal of Monetary Economics,7.872,Q1
Annual Review of Physiology,7.820,Q1
Electrochemical Energy Reviews,7.790,Q1
Nucleic Acids Research,7.776,Q1
Nature Cell Biology,7.711,Q1
Marketing Science,7.543,Q1
Nature Metabolism,7.529,Q1
Journal of Accounting and Economics,7.505,Q1
Journal of the European Economic Association,7.503,Q1
The Lancet Psychiatry,7.458,Q1
Living Reviews in Solar Physics,7.431,Q1
Review of Economics and Statistics,7.425,Q1
Interdisciplinary Materials,7.351,Q1
Nature Reviews Nephrology,7.309,Q1
Foundations and Trends in Signal Processing,7.305,Q1
Nature Sustainability,7.292,Q1
Cancer Discovery,7.283,Q1
Gastroenterology,7.195,Q1
Nature Physics,7.125,Q1
Annual Review of Neuroscience,7.112,Q1
Nature Aging,7.081,Q1
Cell Host and Microbe,7.067,Q1
Nature Reviews Psychology,7.064,Q1
Materials Science and Engineering R: Reports,7.056,Q1
Journal of the American Mathematical Society,7.033,Q1
IEEE Journal on Selected Areas in Communications,7.023,Q1
Neuro-Oncology,6.974,Q1
Journal of Marketing Research,6.961,Q1
Advances in Methods and Practices in Psychological Science,6.947,Q1
Annual Review of Political Science,6.903,Q1
Journal of the Academy of Marketing Science,6.896,Q1
Nature Microbiology,6.893,Q1
Entrepreneurship Theory and Practice,6.876,Q1
Organization Theory,6.872,Q1
The Lancet Digital Health,6.838,Q1
Journal of Applied Psychology,6.803,Q1
ACS Energy Letters,6.799,Q1
Annual Review of Medicine,6.794,Q1
Annual Review of Cell and Developmental Biology,6.788,Q1
The Lancet Respiratory Medicine,6.788,Q1
Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,6.783,Q1
Neuron,6.755,Q1
Science Translational Medicine,6.722,Q1
Nature Chemistry,6.710,Q1
Clinical Psychology Review,6.617,Q1
Acta Numerica,6.610,Q1
Pharmacological Reviews,6.603,Q1
Journal of Human Resources,6.588,Q1
Annual Review of Marine Science,6.571,Q1
Diabetes Care,6.566,Q1
Fungal Diversity,6.546,Q1
Annual Review of Genetics,6.455,Q1
Physical Review X,6.415,Q1
Journal of Labor Economics,6.404,Q1
Cancer Communications,6.403,Q1
The Lancet Planetary Health,6.386,Q1
Innovation Geoscience,6.384,Q1
American Journal of Political Science,6.280,Q1
International Journal of Information Management,6.260,Q1
Qualitative Research in Psychology,6.248,Q1
Proceedings of the IEEE,6.247,Q1
Cell Genomics,6.238,Q1
JAMA Neurology,6.237,Q1
Journal of Business Venturing,6.234,Q1
iMeta,6.223,Q1
Nature Structural and Molecular Biology,6.187,Q1
Inventiones Mathematicae,6.183,Q1
Nano Research Energy,6.160,Q1
Progress in Polymer Science,6.089,Q1
Nature Food,6.088,Q1
Analytic Methods in Accident Research,6.076,Q1
Annual Review of Financial Economics,6.062,Q1
Journal of Service Research,6.011,Q1
Chem,6.010,Q1
Nature Water,5.962,Q1
Science Robotics,5.940,Q1
JAMA Cardiology,5.936,Q1
Cellular and Molecular Immunology,5.916,Q1
Annual Review of Earth and Planetary Sciences,5.885,Q1
Nature Machine Intelligence,5.876,Q1
The Lancet Global Health,5.870,Q1
Nature Protocols,5.854,Q1
Psychological Science in the Public Interest,5.852,Q1
Progress in Retinal and Eye Research,5.838,Q1
Journal of Experimental Medicine,5.834,Q1
Nature Reviews Neurology,5.828,Q1
Blood,5.823,Q1
Review of Accounting Studies,5.817,Q1
Cement and Concrete Research,5.815,Q1
ACM Computing Surveys,5.797,Q1
Educational Psychologist,5.794,Q1
Energy Storage Materials,5.791,Q1
JAMA Psychiatry,5.755,Q1
Materials Today,5.755,Q1
Physics Reports,5.735,Q1
Annals of the Rheumatic Diseases,5.731,Q1
Management Science,5.720,Q1
Genome Biology,5.710,Q1
Journal of the National Cancer Institute,5.703,Q1
Carbon Energy,5.701,Q1
Annual Review of Environment and Resources,5.700,Q1
InfoMat,5.683,Q1
Reports on Progress in Physics,5.666,Q1
National Center for Health Statistics Data Brief,5.630,Q1
Clinical Microbiology Reviews,5.594,Q1
International Journal of Machine Tools and Manufacture,5.577,Q1
European Journal of Heart Failure,5.559,Q1
Hepatology,5.557,Q1
Journal of the American Chemical Society,5.554,Q1
Angewandte Chemie - International Edition,5.550,Q1
Nature Human Behaviour,5.537,Q1
American Political Science Review,5.532,Q1
Nature Chemical Biology,5.521,Q1
Molecular Plant,5.519,Q1
JNCCN Journal of the National Comprehensive Cancer Network,5.514,Q1
Nature Reviews Rheumatology,5.507,Q1
Personality and Social Psychology Review,5.493,Q1
Molecular Neurodegeneration,5.488,Q1
Journal of Management Studies,5.465,Q1
Trends in Cell Biology,5.455,Q1
The Lancet Infectious Diseases,5.446,Q1
Advanced Functional Materials,5.439,Q1
Accounts of Chemical Research,5.433,Q1
JACC: Cardiovascular Imaging,5.426,Q1
Personnel Psychology,5.414,Q1
Nature Synthesis,5.403,Q1
Leadership Quarterly,5.393,Q1
Perspectives on Psychological Science,5.393,Q1
Protein and Cell,5.392,Q1
Economic Journal,5.371,Q1
Human Reproduction Update,5.357,Q1
JAMA,5.352,Q1
PRX Quantum,5.341,Q1
GigaScience,5.314,Q1
Drug Resistance Updates,5.282,Q1
American Journal of Psychiatry,5.270,Q1
Annual Review of Sociology,5.262,Q1
The Lancet Microbe,5.262,Q1
American Economic Journal: Microeconomics,5.225,Q1
JACC: Heart Failure,5.218,Q1
Computers and Education: Artificial Intelligence,5.217,Q1
"Annual Review of Ecology, Evolution, and Systematics",5.214,Q1
Strategic Organization,5.210,Q1
EnergyChem,5.185,Q1
Applied Catalysis B: Environmental,5.180,Q1
Developmental Cell,5.180,Q1
The Lancet Healthy Longevity,5.166,Q1
Annual Review of Biophysics,5.152,Q1
Blood Cancer Journal,5.139,Q1
Nature Geoscience,5.138,Q1
Advanced Powder Materials,5.100,Q1
JAMA Pediatrics,5.085,Q1
Genome Medicine,5.078,Q1
Journal of International Business Studies,5.078,Q1
American Journal of Respiratory and Critical Care Medicine,5.076,Q1
Academy of Management Perspectives,5.063,Q1
Organization Studies,5.032,Q1
Light: Science and Applications,5.018,Q1
Intensive Care Medicine,4.999,Q1
European Heart Journal,4.987,Q1
International Organization,4.977,Q1
Cell Systems,4.943,Q1
The Lancet Haematology,4.936,Q1
Psychological Methods,4.925,Q1
Psychotherapy and Psychosomatics,4.904,Q1
Circulation Research,4.897,Q1
Trends in Ecology and Evolution,4.876,Q1
Cell Death and Differentiation,4.866,Q1
Information Systems Research,4.850,Q1
Health Psychology Review,4.838,Q1
EMBO Journal,4.821,Q1
Nature Plants,4.815,Q1
Matter,4.804,Q1
Clinical Cancer Research,4.800,Q1
Molecular Systems Biology,4.783,Q1
Advanced Photonics,4.777,Q1
Annals of Statistics,4.769,Q1
Nature Communications,4.761,Q1
Critical Finance Review,4.754,Q1
Trends in Cancer,4.727,Q1
Trends in Neurosciences,4.726,Q1
British Journal of Sports Medicine,4.724,Q1
Journal of Clinical Investigation,4.721,Q1
Brain,4.720,Q1
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,4.718,-
Review of Educational Research,4.700,Q1
Biological Psychiatry,4.684,Q1
Protein Science,4.657,Q1
Annual Review of Entomology,4.655,Q1
Coordination Chemistry Reviews,4.638,Q1
JAMA Internal Medicine,4.623,Q1
Review of Asset Pricing Studies,4.621,Q1
IEEE Transactions on Smart Grid,4.608,Q1
Global Change Biology,4.600,Q1
Nano Energy,4.566,Q1
Journal of Supply Chain Management,4.562,Q1
Ophthalmology,4.552,Q1
Journal of Consumer Psychology,4.547,Q1
European Review of Social Psychology,4.544,Q1
American Journal of Human Genetics,4.531,Q1
Journal of Extracellular Vesicles,4.524,Q1
Journal of Operations Management,4.520,Q1
PhotoniX,4.514,Q1
The Lancet HIV,4.506,Q1
Trends in Cognitive Sciences,4.506,Q1
Annual Review of Microbiology,4.505,Q1
European Respiratory Journal,4.502,Q1
Wiley Interdisciplinary Reviews: Computational Molecular Science,4.501,Q1
ACS Nano,4.497,Q1
Implementation Science,4.491,Q1
MIS Quarterly: Management Information Systems,4.486,Q1
Manufacturing and Service Operations Management,4.486,Q1
Acta Neuropathologica,4.483,Q1
Advances in Physics,4.468,Q1
Health Affairs,4.465,Q1
Journal of Financial and Quantitative Analysis,4.465,Q1
Journal of Advertising,4.455,Q1
IEEE Transactions on Wireless Communications,4.454,Q1
IEEE Transactions on Cybernetics,4.450,Q1
Autophagy,4.447,Q1
Cement and Concrete Composites,4.446,Q1
Quantitative Economics,4.438,Q1
Annual Review of Nutrition,4.435,Q1
Progress in Particle and Nuclear Physics,4.428,Q1
IEEE Wireless Communications,4.406,Q1
Educational Psychology Review,4.384,Q1
Biological Reviews,4.383,Q1
Current Climate Change Reports,4.363,Q1
Accounts of Materials Research,4.358,Q1
Nature Ecology and Evolution,4.357,Q1
Political Analysis,4.353,Q1
Science Advances,4.324,Q1
Journal of International Economics,4.321,Q1
Blood Cancer Discovery,4.316,Q1
Periodontology 2000,4.316,Q1
Journal of World Business,4.297,Q1
The Lancet Child and Adolescent Health,4.289,Q1
Annual Review of Genomics and Human Genetics,4.280,Q1
PLoS Medicine,4.279,Q1
IEEE Transactions on Sustainable Energy,4.261,Q1
Exploration,4.231,Q1
Journal for ImmunoTherapy of Cancer,4.220,Q1
Ageing Research Reviews,4.216,Q1
Sleep Medicine Reviews,4.209,Q1
Military Medical Research,4.206,Q1
Journal of Retailing,4.204,Q1
American Sociological Review,4.203,Q1
Cancer Treatment Reviews,4.183,Q1
RAND Journal of Economics,4.173,Q1
Journal of Business and Economic Statistics,4.171,Q1
Comparative Political Studies,4.169,Q1
npj Digital Medicine,4.164,Q1
Environmental Science and Ecotechnology,4.161,Q1
Trends in Biochemical Sciences,4.158,Q1
Human Relations,4.148,Q1
Tourism Management,4.146,Q1
Kidney International,4.130,Q1
Information Fusion,4.128,Q1
JAMA Surgery,4.125,Q1
Review of Corporate Finance Studies,4.122,Q1
IEEE Journal on Selected Topics in Signal Processing,4.120,Q1
Microbiome,4.117,Q1
"Forum of Mathematics, Pi",4.116,Q1
Journal of the American Statistical Association,4.103,Q1
Nature Cardiovascular Research,4.096,Q1
Journal of Public Economics,4.092,Q1
Progress in Lipid Research,4.091,Q1
The Lancet Regional Health - Europe,4.088,Q1
Molecular Biology and Evolution,4.085,Q1
Bioactive Materials,4.075,Q1
Earth System Science Data,4.066,Q1
Sociological Methods and Research,4.064,Q1
International Journal of Management Reviews,4.054,Q1
Econometrics Journal,4.051,Q1
Bone Research,4.048,Q1
Accounting Review,4.045,Q1
Microplastics and Nanoplastics,4.031,Q1
Annual Review of Pharmacology and Toxicology,4.029,Q1
Cell Reports Medicine,4.028,Q1
Annual Review of Virology,4.025,Q1
Molecular Psychiatry,4.022,Q1
Research Synthesis Methods,4.020,Q1
Seminars in Cancer Biology,4.016,Q1
Molecular Therapy,4.008,Q1
Foundations and Trends in Systems and Control,4.006,Q1
Nature Astronomy,4.006,Q1
Genes and Development,4.005,Q1
Experimental and Molecular Medicine,4.001,Q1
Digest of Technical Papers - IEEE International Solid-State Circuits Conference,3.998,-
Annual Review of Phytopathology,3.984,Q1
Soil Biology and Biochemistry,3.982,Q1
ISME Journal,3.973,Q1
Remote Sensing of Environment,3.972,Q1
"Genomics, Proteomics and Bioinformatics",3.964,Q1
Annual Review of Cancer Biology,3.955,Q1
Internet of Things and Cyber-Physical Systems,3.952,Q1
Annual Review of Nuclear and Particle Science,3.950,Q1
Cardiovascular Research,3.947,Q1
Journal of Development Economics,3.945,Q1
Cambridge Journal of Mathematics,3.940,Q1
Journal of Allergy and Clinical Immunology,3.935,Q1
Human Resource Management Review,3.934,Q1
Environmental Chemistry Letters,3.929,Q1
Trends in Genetics,3.928,Q1
Advanced Fiber Materials,3.919,Q1
Energy Economics,3.919,Q1
Duke Mathematical Journal,3.913,Q1
International Journal of Educational Technology in Higher Education,3.912,Q1
IEEE Transactions on Pattern Analysis and Machine Intelligence,3.910,Q1
Genome Research,3.909,Q1
Ecology Letters,3.905,Q1
Qualitative Psychology,3.904,Q1
Mycosphere,3.903,Q1
Renewable and Sustainable Energy Reviews,3.901,Q1
Trends in Immunology,3.895,Q1
Sports Medicine,3.887,Q1
Brookings Papers on Economic Activity,3.884,Q1
Cancer Research,3.879,Q1
International Journal of Research in Marketing,3.869,Q1
Studies in Mycology,3.867,Q1
Journal of Personality and Social Psychology,3.865,Q1
IEEE/CAA Journal of Automatica Sinica,3.863,Q1
Journal of Organizational Behavior,3.862,Q1
Theoretical Economics,3.857,Q1
Radiology,3.856,Q1
Journal of Urban Economics,3.854,Q1
Translational Neurodegeneration,3.850,Q1
Communications on Pure and Applied Mathematics,3.848,Q1
Water Research,3.843,Q1
Cell Discovery,3.842,Q1
Educational Research Review,3.839,Q1
The Lancet Rheumatology,3.837,Q1
Endocrine Pathology,3.832,Q1
Med,3.815,Q1
World Politics,3.810,Q1
Strategy Science,3.806,Q1
IEEE Transactions on Automatic Control,3.804,Q1
Wiley Interdisciplinary Reviews: Climate Change,3.803,Q1
Pharmacology and Therapeutics,3.800,Q1
Cell Reports,3.796,Q1
Critical Reviews in Environmental Science and Technology,3.788,Q1
Arthritis and Rheumatology,3.784,Q1
ACS Catalysis,3.782,Q1
Advanced Science,3.775,Q1
npj Flexible Electronics,3.774,Q1
Trends in Pharmacological Sciences,3.771,Q1
JACC: CardioOncology,3.768,Q1
Journal of Strategic Information Systems,3.765,Q1
Aggregate,3.760,Q1
Journal of the American Society of Nephrology,3.749,Q1
Biogeotechnics,3.744,Q1
Annals of Neurology,3.736,Q1
SmartMat,3.725,Q1
Advanced Drug Delivery Reviews,3.721,Q1
Advances in Applied Energy,3.721,Q1
Astrophysical Journal Letters,3.713,Q1
Chem Catalysis,3.710,Q1
Plant Cell,3.704,Q1
Cold Spring Harbor Perspectives in Biology,3.699,Q1
New Astronomy Reviews,3.697,Q1
"Annual Review of Control, Robotics, and Autonomous Systems",3.690,Q1
Environmental Science and Technology,3.690,Q1
IEEE Transactions on Neural Networks and Learning Systems,3.686,Q1
Human Resource Management,3.663,Q1
IEEE Geoscience and Remote Sensing Magazine,3.662,Q1
Journal of Management Information Systems,3.652,Q1
Clinical and Molecular Hepatology,3.635,Q1
Journal of Manufacturing Systems,3.633,Q1
eClinicalMedicine,3.633,Q1
Cancer Immunology Research,3.630,Q1
IEEE Transactions on Power Systems,3.629,Q1
Allergy: European Journal of Allergy and Clinical Immunology,3.622,Q1
Diabetologia,3.617,Q1
Energy and Environmental Materials,3.615,Q1
IEEE Transactions on Fuzzy Systems,3.614,Q1
Business Strategy and the Environment,3.609,Q1
Diabetes Technology and Therapeutics,3.609,Q1
Gut Microbes,3.609,Q1
Biometrika,3.605,Q1
Alzheimer's and Dementia,3.600,Q1
Information Systems Journal,3.599,Q1
Journal of Product Innovation Management,3.598,Q1
Journal of Advanced Ceramics,3.591,Q1
eBioMedicine,3.591,Q1
ESMO Open,3.582,Q1
Eco-Environment and Health,3.580,Q1
Trends in Molecular Medicine,3.577,Q1
International Materials Reviews,3.574,Q1
EMBO Molecular Medicine,3.571,Q1
British Journal of Political Science,3.563,Q1
Opto-Electronic Advances,3.557,Q1
National Health Statistics Reports,3.555,Q1
Plant Communications,3.552,Q1
JAMA Network Open,3.546,Q1
Proceedings of the IEEE International Conference on Computer Vision,3.544,-
International Journal of Plasticity,3.531,Q1
Metabolism: Clinical and Experimental,3.529,Q1
JACC: Cardiovascular Interventions,3.527,Q1
JHEP Reports,3.525,Q1
Computer Assisted Language Learning,3.513,Q1
Frontiers in Ecology and the Environment,3.513,Q1
Clinical Gastroenterology and Hepatology,3.509,Q1
One Earth,3.509,Q1
Journal of Business Research,3.499,Q1
Psychology and Marketing,3.497,Q1
IEEE Transactions on Evolutionary Computation,3.495,Q1
IEEE Transactions on Communications,3.492,Q1
Acta Pharmaceutica Sinica B,3.489,Q1
Review of Environmental Economics and Policy,3.488,Q1
Trends in Endocrinology and Metabolism,3.485,Q1
ISPRS Journal of Photogrammetry and Remote Sensing,3.480,Q1
Nature Computational Science,3.472,Q1
Technological Forecasting and Social Change,3.472,Q1
Global Strategy Journal,3.471,Q1
Earth-Science Reviews,3.463,Q1
European Journal of Information Systems,3.459,Q1
Leukemia,3.458,Q1
Journal of Integrative Plant Biology,3.455,Q1
Journal of Public Administration Research and Theory,3.454,Q1
Journal of Economic Theory,3.443,Q1
Research Policy,3.443,Q1
Journal of Retailing and Consumer Services,3.439,Q1
Organizational Psychology Review,3.434,Q1
Journal of Politics,3.428,Q1
International Journal of Transgender Health,3.422,Q1
European Urology Oncology,3.419,Q1
Seminars in Immunology,3.417,Q1
Circulation: Arrhythmia and Electrophysiology,3.416,Q1
IEEE Transactions on Industrial Informatics,3.416,Q1
"Journal of Cachexia, Sarcopenia and Muscle",3.416,Q1
Energy Material Advances,3.415,Q1
Proceedings of the National Academy of Sciences of the United States of America,3.414,Q1
Earth System Dynamics,3.412,Q1
Energy Reviews,3.411,Q1
FEMS Microbiology Reviews,3.408,Q1
Protection and Control of Modern Power Systems,3.398,Q1
Journal of Energy Chemistry,3.394,Q1
Ecological Monographs,3.383,Q1
International Journal of Extreme Manufacturing,3.380,Q1
"Journal of Neurology, Neurosurgery and Psychiatry",3.379,Q1
eLife,3.379,Q1
Annals of Internal Medicine,3.378,Q1
European Journal of Political Research,3.377,Q1
Annual Review of Materials Research,3.376,Q1
Redox Biology,3.374,Q1
Chinese Journal of Catalysis,3.373,Q1
Foundations and Trends in Robotics,3.370,Q1
Strategic Entrepreneurship Journal,3.370,Q1
Theranostics,3.370,Q1
npj Precision Oncology,3.370,Q1
Journal of Interactive Marketing,3.366,Q1
Production and Operations Management,3.364,Q1
Drugs,3.362,Q1
IEEE Journal of Solid-State Circuits,3.362,Q1
Journal of the Association of Environmental and Resource Economists,3.361,Q1
Journal of Cell Biology,3.359,Q1
Annual Review of Biomedical Data Science,3.356,Q1
Applied Mechanics Reviews,3.356,Q1
Global Environmental Change,3.355,Q1
Cardiovascular Diabetology,3.353,Q1
Journal of Service Management,3.348,Q1
"Astrophysical Journal, Supplement Series",3.344,Q1
Computers and Education,3.343,Q1
Journal of Innovation and Knowledge,3.341,Q1
Journal of Research in Interactive Marketing,3.336,Q1
Journal of Experimental and Clinical Cancer Research,3.328,Q1
Annals of Probability,3.326,Q1
Structural Equation Modeling,3.321,Q1
Journal of the Royal Statistical Society. Series B: Statistical Methodology,3.308,Q1
Technovation,3.308,Q1
Annual Review of Animal Biosciences,3.307,Q1
Geometric and Functional Analysis,3.303,Q1
Small,3.301,Q1
Immunological Reviews,3.298,Q1
Trends in Plant Science,3.297,Q1
Biomarker Research,3.296,Q1
New Phytologist,3.293,Q1
Medical Image Analysis,3.289,Q1
ACS Central Science,3.286,Q1
Journal of Magnesium and Alloys,3.282,Q1
IEEE Communications Magazine,3.281,Q1
World Bank Research Observer,3.281,Q1
Computer Science Review,3.276,Q1
Progress in Aerospace Sciences,3.270,Q1
Revista Espanola de Cardiologia (English edition),3.267,Q1
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",3.254,Q1
Trends in Food Science and Technology,3.247,Q1
Journal of Corporate Finance,3.246,Q1
European Journal of Epidemiology,3.241,Q1
International Economic Review,3.238,Q1
Molecular Metabolism,3.235,Q1
Financial Management,3.226,Q1
Archive for Rational Mechanics and Analysis,3.223,Q1
Journal of Internal Medicine,3.223,Q1
Advanced Composites and Hybrid Materials,3.214,Q1
AI Open,3.212,Q1
Journal of Hospitality Marketing and Management,3.212,Q1
Current Directions in Psychological Science,3.211,Q1
Journal of Statistical Software,3.211,Q1
Academy of Management Discoveries,3.207,Q1
Journal of Financial Intermediation,3.204,Q1
American Psychologist,3.200,Q1
Journal of Sport and Health Science,3.197,Q1
Current Opinion in Plant Biology,3.193,Q1
"Qualitative Research in Sport, Exercise and Health",3.193,Q1
Human Reproduction Open,3.190,Q1
npj Urban Sustainability,3.185,Q1
Journal of Neuroinflammation,3.183,Q1
Light: Advanced Manufacturing,3.177,Q1
Journal of Biomedical Science,3.172,Q1
Energy Materials and Devices,3.171,Q1
Medicinal Research Reviews,3.169,Q1
Annual Review of Biomedical Engineering,3.168,Q1
Computational Visual Media,3.166,Q1
Journal of Environmental Economics and Management,3.165,Q1
Microbiology and Molecular Biology Reviews,3.165,Q1
Clinical Reviews in Allergy and Immunology,3.163,Q1
EuroIntervention,3.160,Q1
Trends in Microbiology,3.152,Q1
Journal of Clinical Epidemiology,3.149,Q1
Mucosal Immunology,3.148,Q1
Environment International,3.145,Q1
British Journal of Cancer,3.144,Q1
Cold Spring Harbor Perspectives in Medicine,3.141,Q1
International Journal of Contemporary Hospitality Management,3.141,Q1
International Journal of Mining Science and Technology,3.137,Q1
ILR Review,3.136,Q1
International Journal of Computer Vision,3.136,Q1
Radiology: Artificial Intelligence,3.128,Q1
Journal of the Association for Information Systems,3.119,Q1
Carbon Research,3.116,Q1
Business and Society,3.113,Q1
American Journal of Clinical Dermatology,3.104,Q1
Journal of Management Inquiry,3.103,Q1
Journal of Travel Research,3.100,Q1
"Trauma, Violence, and Abuse",3.093,Q1
Experimental Hematology and Oncology,3.092,Q1
Advances in Colloid and Interface Science,3.090,Q1
Small Structures,3.090,Q1
Progress in Human Geography,3.087,Q1
IEEE Transactions on Power Electronics,3.083,Q1
Optica,3.080,Q1
Review of Economic Dynamics,3.080,Q1
Journal of Hazardous Materials,3.078,Q1
American Journal of Hematology,3.076,Q1
Neuroscience and Biobehavioral Reviews,3.076,Q1
Cellular and Molecular Gastroenterology and Hepatology,3.069,Q1
Contemporary Accounting Research,3.069,Q1
Psychological Review,3.064,Q1
Europace,3.057,Q1
Health systems in transition,3.055,Q1
Automatica,3.054,Q1
Journal of Family Business Strategy,3.053,Q1
Current Obesity Reports,3.044,Q1
Journal of the European Mathematical Society,3.043,Q1
Journal of Prevention of Alzheimer's Disease,3.040,Q1
Circulation: Cardiovascular Interventions,3.039,Q1
Journal of Business Ethics,3.039,Q1
Annual Review of Chemical and Biomolecular Engineering,3.037,Q1
Circulation: Heart Failure,3.037,Q1
Digital Journalism,3.037,Q1
Current Opinion in Psychology,3.036,Q1
International Journal of Oral Science,3.035,Q1
Clinical and Translational Medicine,3.030,Q1
Nano Materials Science,3.030,Q1
eTransportation,3.030,Q1
Human Resource Management Journal,3.027,Q1
JACC: Clinical Electrophysiology,3.027,Q1
Small Business Economics,3.025,Q1
American Journal of Kidney Diseases,3.024,Q1
Political Behavior,3.021,Q1
SIAM Review,3.021,Q1
Computer-Aided Civil and Infrastructure Engineering,3.012,Q1
Transport Reviews,3.011,Q1
Artificial Intelligence Review,3.010,Q1
